trip_id,duration
1164846,39931
1155862,39916
1092921,39685
1214159,39504
1030368,39450
1092926,39252
1092929,39065
1041819,38716
1063695,38626
1063697,38526
947396,38512
1162888,38483
998213,38357
1254801,38343
1295709,38281
1235921,38280
1162890,38266
1235922,38199
1102418,37964
1333143,37882
1007903,37799
1256028,37776
1254799,37679
1101877,37181
947019,37064
1255194,36942
1199405,36919
1047019,36918
1130838,36895
947022,36873
947023,36765
947024,36641
921321,36531
921323,36507
1235937,36355
965429,36267
1296902,36090
1009525,36033
975038,35989
1279974,35688
1138585,35623
1138586,35436
1138588,35183
1100256,35095
1217443,34955
1164439,34855
1165903,34715
1031844,34378
1164443,34294
1134021,34244
1100231,34157
1165909,34039
1165910,34038
938349,33987
1112126,33919
1165917,33671
1165921,33654
1044308,33629
934199,33559
1337586,33464
1295538,33407
1004695,33318
1236051,33263
1279984,33074
1297744,32532
1250300,32472
1314470,32442
1250302,32412
1137037,32337
1164950,32312
1318100,32262
1067981,32238
945386,32218
1210228,32190
945906,32174
1166949,32153
1166951,32114
946927,32086
1337623,32080
1110346,32074
1279316,32059
946928,31985
962162,31980
942188,31917
946929,31884
1337629,31812
1024538,31808
1288077,31756
1065352,31738
1234658,31732
1068700,31719
1166953,31653
1127624,31396
1149775,31382
1308081,31319
1305387,31296
1311759,31263
1146611,31055
917061,31054
1084338,31045
1146612,31042
1095998,31017
1149795,30963
1140624,30860
1296998,30850
1027533,30816
1077535,30759
965282,30754
1149780,30704
1270216,30694
965787,30672
1160414,30600
1311777,30596
1037217,30521
965790,30427
965792,30395
1047429,30361
1319452,30361
1182855,30334
1205727,30238
954281,30208
942386,30174
1177542,30141
1140461,30027
942391,30020
957403,29899
947400,29833
1124679,29752
1311791,29729
1124682,29725
1112626,29699
1112629,29637
1297098,29577
1297099,29548
1245737,29484
1140616,29482
1245739,29407
1226600,29362
1226601,29334
1113746,29319
1123010,29283
1288816,29283
1128978,29213
1037290,29087
1132748,29003
921249,28986
928553,28954
1215803,28760
1214162,28706
1053524,28640
921250,28574
934197,28559
1109430,28553
1148135,28482
1148137,28477
933004,28325
1076000,28263
1092913,28246
1092914,28228
1249516,28179
1249517,28158
1192768,28055
1132804,28026
1164530,27948
1163415,27944
1136572,27891
1043182,27880
1102280,27874
1132809,27718
1166958,27718
1317634,27708
1163421,27663
1192774,27663
1192775,27658
1245680,27619
1071527,27592
976869,27493
971551,27467
1131585,27357
1265072,27352
1131586,27308
1324322,27301
1048580,27294
1297762,27291
1334174,27289
1192779,27267
975058,27202
1265076,27170
1069070,27142
975059,27121
1187639,26985
1138713,26974
965720,26971
965721,26956
1314214,26941
1086901,26913
1265077,26881
1127917,26770
1314222,26758
945755,26740
934948,26735
1073001,26718
1270803,26682
1187640,26677
937975,26646
1069075,26640
1297811,26544
1254948,26524
1254949,26498
1210679,26490
1234927,26486
1131476,26446
1056771,26442
1210680,26426
1145980,26389
1145981,26372
1115452,26338
1102453,26333
1210684,26332
1305747,26305
1210682,26295
1017398,26239
1017397,26223
964542,26195
964543,26185
1148100,26140
1305749,26114
1050388,26081
965716,26067
965717,26057
1315078,26040
1285443,26016
1146641,25982
1278275,25979
1068856,25977
1278276,25970
1146642,25957
915934,25917
944096,25905
1305750,25903
1236151,25898
1285448,25895
944097,25878
936431,25876
1046805,25860
1054748,25855
1050389,25833
1068858,25788
1068857,25784
945896,25774
1278279,25723
1278280,25711
951664,25667
1092923,25666
958887,25651
1161587,25630
